4,   0.000463
9,   0.000463
16,   0
25,   0.000463
36,   0.000463
49,   0.000927
64,   0.000463
81,   0.001391
100,   0.001391
121,   0.001391
144,   0.001855
169,   0.002318
196,   0.001855
225,   0.002783
256,   0.003246
289,   0.004637
324,   0.004174
361,   0.005565
400,   0.005565
441,   0.007884
484,   0.007885
529,   0.009739
576,   0.010203
625,   0.014377
676,   0.014377
729,   0.015768
784,   0.016696
841,   0.02087
900,   0.021797
961,   0.02458
1024,   0.026434
1089,   0.032
1156,   0.033391
1225,   0.036174
1296,   0.038029
1369,   0.046841
1444,   0.042202
1521,   0.045913
1600,   0.047768
1681,   0.056116
1764,   0.056116
1849,   0.061217
1936,   0.06029
2025,   0.069565
2116,   0.070029
2209,   0.074667
2304,   0.079304
2401,   0.086724
2500,   0.086725
2601,   0.092753
2704,   0.095536
2809,   0.108986
2916,   0.108521
3025,   0.115015
3136,   0.118725
3249,   0.134029
3364,   0.134029
3481,   0.14145
3600,   0.145623
3721,   0.163247
3844,   0.163246
3969,   0.171594
4096,   0.178551
4225,   0.197102
4356,   0.197565
4489,   0.206841
4624,   0.212869
4761,   0.235131
4900,   0.235131
5041,   0.24858
5184,   0.254609
5329,   0.279189
5476,   0.282898
5625,   0.300522
5776,   0.298203
5929,   0.334841
6084,   0.338551
6241,   0.358493
6400,   0.357566
6561,   0.392348
6724,   0.399305
6889,   0.422029
7056,   0.420175
7225,   0.463769
7396,   0.468406
7569,   0.492059
7744,   0.489276
7921,   0.537508
8100,   0.559768
8281,   0.575073
8464,   0.57229
8649,   0.631189
8836,   0.632116
9025,   0.660406
9216,   0.691015
9409,   0.71374
9604,   0.723943
9801,   0.757798
10000,   0.755479
10201,   0.818551
10404,   0.82829
10609,   0.858899
10816,   0.857971
11025,   0.922436
11236,   0.936812
11449,   0.976697
11664,   0.975305
11881,   1.04858
12100,   1.05925
12321,   1.09867
12544,   1.10284
12769,   1.17194
12996,   1.2276
13225,   1.23409
13456,   1.23131
13689,   1.31942
13924,   1.33426
14161,   1.37739
14400,   1.41032
14641,   1.4618
14884,   1.48452
15129,   1.53507
15376,   1.54064
15625,   1.62736
15876,   1.68348
16129,   1.74052
16384,   1.7869
16641,   1.83606
16900,   1.85878
17161,   1.91536
17424,   1.92464
17689,   2.03502
17956,   2.05496
18225,   2.12313
18496,   2.17693
18769,   2.2298
19044,   2.27061
19321,   2.32904
19600,   2.32951
19881,   2.45519
